scenario_id,category,datasets_json,omega,K,N_min,method,ci_low,ci_high,ci_width,clipped,valid,runtime_ms,width_ratio_vs_sim,jaccard_vs_sim,overlap_vs_sim,endpoint_abs_err_vs_sim,center_abs_err_vs_sim
34,single,"[[194, 156, 69]]",1.0,2194,281,Established CI #2,384.0,516.0,132.0,False,True,2.7191999834030867,1.0153846153846153,0.9848484848484849,130.0,2.0,1.0
35,single,"[[174, 117, 96]]",1.0,1061,195,Simulation (reference),201.0,226.0,25.0,False,True,267.2720999689773,1.0,1.0,25.0,0.0,0.0
35,single,"[[174, 117, 96]]",1.0,1061,195,ehp CI,202.0,226.0,24.0,False,True,0.519299996085465,0.96,0.96,24.0,1.0,0.5
35,single,"[[174, 117, 96]]",1.0,1061,195,Established CI #1,200.3421928169883,224.09623132563522,23.754038508646914,False,True,0.18159998580813408,0.9501615403458765,0.9001638823183405,23.096231325635216,2.561575857376482,1.2807879286882553
35,single,"[[174, 117, 96]]",1.0,1061,195,Established CI #2,202.0,228.0,26.0,False,True,2.3315000580623746,1.04,0.8888888888888888,24.0,3.0,1.5
36,single,"[[119, 35, 26]]",1.0,1000,128,Simulation (reference),139.0,200.0,61.0,False,True,254.4670000206679,1.0,1.0,61.0,0.0,0.0
36,single,"[[119, 35, 26]]",1.0,1000,128,ehp CI,139.0,200.0,61.0,False,True,0.542100053280592,1.0,1.0,61.0,0.0,0.0
36,single,"[[119, 35, 26]]",1.0,1000,128,Established CI #1,134.94137077565117,187.3480301458573,52.40665937020614,False,True,0.19340007565915585,0.8591255634460023,0.7431455399887611,48.34803014585731,16.710599078491526,8.355299539245777
36,single,"[[119, 35, 26]]",1.0,1000,128,Established CI #2,139.0,204.0,65.0,False,True,2.426499966531992,1.0655737704918034,0.9384615384615385,61.0,4.0,2.0
37,single,"[[108, 114, 86]]",1.0,1000,136,Simulation (reference),138.0,152.0,14.0,False,True,242.07849998492748,1.0,1.0,14.0,0.0,0.0
